ticker,price,currency,exchange,market_time,prev_close,fifty_two_wk_high,fifty_two_wk_low
SPY,720.65,USD,NYSEArca,2026-05-01T20:00:02.000Z,718.66,724.85,556.04
^GSPC,7230.12,USD,SNP,2026-05-01T21:07:23.000Z,7209.01,7272.52,5578.64
^VIX,16.99,USD,Cboe Indices,2026-05-01T20:15:01.000Z,16.89,35.3,13.38
^SKEW,143.33,USD,Chicago Options,2026-04-30T21:00:17.000Z,143.33,161.86,128.4
^MOVE,70.4133,USD,NYSE,2026-05-01T20:33:45.000Z,72.0683,140.03,48.26
^OVX,75.4,USD,Chicago Options,2026-05-01T20:02:01.000Z,75.08,125.99,23.59
QQQ,674.15,USD,NasdaqGM,2026-05-01T20:00:01.000Z,667.74,675.97,476.78
IWM,279.28,USD,NYSEArca,2026-05-01T20:00:00.000Z,277.97,279.81,195.64
TLT,85.61,USD,NasdaqGM,2026-05-01T20:00:01.000Z,85.62,92.19,83.3
HYG,80.06,USD,NYSEArca,2026-05-01T20:00:00.000Z,79.9613,81.36,78.33
JNK,96.4,USD,NYSEArca,2026-05-01T20:00:00.000Z,96.3031,98.24,94.3
DXY,,,NasdaqGS,,,1066.29,630.4
UUP,27.41,USD,NYSEArca,2026-05-01T20:00:00.000Z,27.36,28.45,26.4
GLD,423.18,USD,NYSEArca,2026-05-01T20:00:06.000Z,423.66,509.7,291.78
USO,142.8,USD,NYSEArca,2026-05-01T20:00:00.000Z,147.09,151.63,61.75
XLE,58.85,USD,NYSEArca,2026-05-01T20:00:00.000Z,59.65,63.46,39.97
XLF,51.92,USD,NYSEArca,2026-05-01T20:00:00.000Z,52.13,56.52,47.67
XLK,161.87,USD,NYSEArca,2026-05-01T20:00:00.000Z,159.5,162.285,105.805
